feature,importance
賣超第15名分點前10天賣均張,19
買超第12名分點前9天買均值(千),19
買超第9名分點前20天買均價,19
買超第10名分點買均值(千),19
買超第6名分點前13天買筆數,19
賣超第1名分點前4天買均張,19
買超第2名分點前18天買筆數,19
賣超第3名分點前12天賣均張,19
賣超第13名分點前8天券商代號,19
買超第9名分點前9天買筆數,19
買超第6名分點前3天買筆數,19
賣超第3名分點前10天賣均張,19
賣超第11名分點券商代號,19
主力券商_前6天分點吃貨比(%),19
買超第13名分點買筆數,19
賣超第7名分點前2天賣筆數,18
個股券商分點區域分析_近5日賣超3公司區域密度,18
賣超第9名分點前17天賣筆數,18
買超第4名分點前3天金額增減(千),18
買超第11名分點前2天買筆數,18
賣超第1名分點前8天賣筆數,18
賣超第1名分點前3天賣張,18
賣超第2名分點前20天張增減,18
買超第9名分點前1天賣均價,18
主力券商_分點進出,18
買超第1名分點前8天買筆數,18
個股券商分點區域分析_近20日成交3公司區域密度,18
賣超第15名分點前6天賣均張,18
賣超第6名分點前3天買均價,17
季IFRS財報_DPZ等級,17
個股券商分點區域分析_近1日買超5分點間接近比例,17
買超第3名分點前15天買筆數,17
買超第4名分點前5天賣均價,17
賣超第6名分點前19天賣筆數,17
買超第13名分點前8天買均值(千),17
賣超第9名分點前8天賣均張,17
外資券商_前8天分點吃貨比(%),17
外資券商_前5天分點出貨比(%),17
賣超第2名分點前2天賣筆數,17
賣超第9名分點券商代號,17
賣超第14名分點前13天賣均值(千),17
買超第12名分點前2天金額增減(千),17
個股券商分點區域分析_近20日成交5公司區域密度,17
賣超第4名分點前12天買均張,17
買超第6名分點前17天賣均價,17
買超第2名分點前9天張增減,17
賣超第1名分點前6天券商代號,16
賣超第13名分點前17天賣均張,16
買超第13名分點前2天張增減,16
賣超第9名分點前17天賣均張,16
外資券商_前5天分點吃貨比(%),16
賣超第14名分點前14天賣均張,16
賣超第10名分點前14天賣均張,16
賣超第1名分點前15天金額增減(千),16
賣超第3名分點前10天券商代號,16
買超第5名分點前12天買均張,16
個股券商分點籌碼分析_分點交易熱門度(%),16
買超第1名分點前12天買張,16
