dataset,feature,mean_abs_shap
chunk_2,個股券商分點區域分析_近20日成交2分點區域密度,0.0438772319136193
chunk_1,賣超第7名分點前14天券商代號,0.0438519325892148
chunk_2,賣超第15名分點前7天券商代號,0.0438010168875189
chunk_1,買超第6名分點前13天買筆數,0.0437102403724201
chunk_2,買超第11名分點前15天賣均價,0.0436887332066325
chunk_1,賣超第8名分點前16天買均價,0.0436000728384456
chunk_1,買超第11名分點前8天券商代號,0.0433276977497295
chunk_3,賣超第12名分點前13天賣均價,0.0432982202529098
chunk_2,賣超第14名分點前3天券商代號,0.0432474759462398
chunk_1,個股券商分點區域分析_近1日買超3公司區域密度,0.0431361785522215
chunk_1,賣超第9名分點前16天券商代號,0.0431355056712726
chunk_1,買超第15名分點前4天賣筆數,0.0431103425520558
chunk_2,買超第6名分點前12天金額增減(千),0.0430655351879558
chunk_1,賣超第14名分點前12天賣筆數,0.0430573066756944
chunk_2,個股5天成交量波動度,0.0428571622370301
chunk_1,主力券商_前14天分點出貨比(%),0.0426791661284482
chunk_2,賣超第6名分點前10天買均價,0.0425426171657565
chunk_1,賣超第9名分點前12天買筆數,0.0424053599983641
chunk_2,賣超第15名分點前14天金額增減(千),0.0423415640198481
chunk_2,買超第8名分點前12天賣均價,0.042255738003633
chunk_1,日外資_外資尚可投資張數,0.0422534327523968
chunk_2,賣超第1名分點前13天買均價,0.0422016121053094
chunk_3,賣超第1名分點前16天券商代號,0.0421166730483769
chunk_2,買超第9名分點前13天券商代號,0.0419861698408801
chunk_1,買超第4名分點前11天買筆數,0.0419063746637177
chunk_2,買超第15名分點前18天賣均價,0.0418860697442217
chunk_3,買超第4名分點前13天買筆數,0.0416262045644424
chunk_2,個股券商分點區域分析_近20日成交3公司區域密度,0.0415320202587725
chunk_2,季IFRS財報_原始累計每股營業額(元),0.0414417144415402
chunk_1,賣超第5名分點前16天賣筆數,0.0413842910629078
chunk_1,賣超第3名分點前7天賣張,0.0412955627479181
chunk_2,買超第7名分點前10天張增減,0.0412781230795051
chunk_1,賣超第2名分點前15天賣筆數,0.0411108725117948
chunk_2,技術指標_MACD,0.0410086397078764
chunk_2,買超第14名分點前8天買筆數,0.0410012157974224
chunk_2,賣超第1名分點前1天買均價,0.0409764992078464
chunk_3,買超第15名分點金額增減(千),0.0407862217365742
chunk_1,買超第14名分點金額增減(千),0.0407351429135657
chunk_3,賣超第10名分點前1天賣均價,0.0406218818814384
chunk_3,賣超第1名分點前1天券商代號,0.0406041135043909
chunk_2,月營收_背書保證累計餘額(千),0.0405278733310024
chunk_2,外資券商_前16天分點吃貨比(%),0.0404751163407099
chunk_1,主力券商_前2天分點吃貨比(%),0.0404087301293588
chunk_1,買超第2名分點前1天券商代號,0.0403681336790052
chunk_3,買超第1名分點前19天券商代號,0.0402529307443298
chunk_2,賣超第7名分點前5天賣筆數,0.040190779821104
chunk_2,買超第6名分點前18天買筆數,0.0400701138472913
chunk_2,買超第12名分點買均價,0.0399852776082137
chunk_2,賣超第1名分點前14天買筆數,0.0399194519645784
chunk_2,賣超第12名分點前1天買均價,0.0399029884483516
chunk_3,賣超第7名分點前1天賣均價,0.0397299568468331
chunk_1,買超第8名分點前10天買筆數,0.039645963776329
chunk_1,買超第4名分點前10天買均值(千),0.0395227059887341
chunk_3,賣超第9名分點前6天買均價,0.0394937878384027
chunk_1,主力券商_分點成交力(%),0.0394927385929767
chunk_2,賣超第12名分點前4天賣金額(千),0.0391996927303227
chunk_2,買超第14名分點前16天買筆數,0.0391779592363899
chunk_1,賣超第15名分點前9天張增減,0.0391428222834176
chunk_2,賣超第3名分點前10天金額增減(千),0.03910765510797
chunk_1,買超第13名分點前2天券商代號,0.0390717792729294
chunk_1,上市加權指數前7天成交量,0.0390107951263865
chunk_2,買超第4名分點前2天買筆數,0.038799832060333
chunk_2,個股券商分點區域分析_近1日賣超1公司區域密度,0.0387330759971325
chunk_2,買超第6名分點前14天賣筆數,0.038534505539513
chunk_1,賣超第9名分點前8天賣均張,0.0385027420732909
chunk_1,賣超第9名分點前13天賣均價,0.0384010633700817
chunk_2,買超第10名分點前19天賣均價,0.0383212610321247
chunk_2,買超第11名分點買均價,0.0383004298250492
chunk_1,買超第2名分點券商代號,0.0382482278460034
chunk_1,買超第8名分點前2天券商代號,0.0382464500184014
